id,name,nfl_team,position,eligible_positions,overall_rank,position_rank,adp,tier,projected_points,floor,ceiling,upside,role_certainty,injury_risk,provider,provider_id,active
sample-josh-allen,Josh Allen,BUF,QB,QB,18,1,20.0,1,375,330,430,0.85,0.95,0.15,sample,1,true
sample-lamar-jackson,Lamar Jackson,BAL,QB,QB,22,2,24.0,1,370,325,440,0.90,0.94,0.18,sample,2,true
sample-jalen-hurts,Jalen Hurts,PHI,QB,QB,28,3,30.0,1,355,315,420,0.83,0.92,0.20,sample,3,true
sample-jayden-daniels,Jayden Daniels,WAS,QB,QB,33,4,35.0,2,350,295,440,0.94,0.82,0.22,sample,4,true
sample-joe-burrow,Joe Burrow,CIN,QB,QB,39,5,42.0,2,345,310,400,0.72,0.94,0.18,sample,5,true
sample-patrick-mahomes,Patrick Mahomes,KC,QB,QB,45,6,46.0,2,335,305,395,0.75,0.96,0.12,sample,6,true
sample-baker-mayfield,Baker Mayfield,TB,QB,QB,69,7,74.0,3,310,275,365,0.60,0.88,0.12,sample,7,true
sample-bo-nix,Bo Nix,DEN,QB,QB,76,8,80.0,3,305,260,375,0.80,0.78,0.15,sample,8,true
sample-bijan-robinson,Bijan Robinson,ATL,RB,RB,1,1,1.5,1,315,270,390,0.94,0.98,0.15,sample,9,true
sample-jahmyr-gibbs,Jahmyr Gibbs,DET,RB,RB,2,2,2.5,1,305,260,385,0.95,0.94,0.18,sample,10,true
sample-saquon-barkley,Saquon Barkley,PHI,RB,RB,4,3,4.0,1,295,245,375,0.88,0.94,0.24,sample,11,true
sample-de-von-achane,De'Von Achane,MIA,RB,RB,8,4,8.0,2,275,215,370,0.98,0.75,0.30,sample,12,true
sample-breece-hall,Breece Hall,NYJ,RB,RB,11,5,12.0,2,270,220,355,0.90,0.87,0.20,sample,13,true
sample-derrick-henry,Derrick Henry,BAL,RB,RB,14,6,15.0,2,265,230,330,0.70,0.95,0.22,sample,14,true
sample-jonathan-taylor,Jonathan Taylor,IND,RB,RB,17,7,18.0,3,255,205,340,0.82,0.90,0.28,sample,15,true
sample-josh-jacobs,Josh Jacobs,GB,RB,RB,21,8,23.0,3,250,210,320,0.68,0.92,0.20,sample,16,true
sample-kyren-williams,Kyren Williams,LAR,RB,RB,25,9,27.0,3,245,195,330,0.78,0.85,0.27,sample,17,true
sample-kenneth-walker,Kenneth Walker III,SEA,RB,RB,31,10,33.0,4,235,180,325,0.84,0.79,0.25,sample,18,true
sample-james-cook,James Cook,BUF,RB,RB,35,11,37.0,4,230,190,295,0.65,0.88,0.17,sample,19,true
